Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
252,8.4000,4061.1728,249.8545,39.6435,2.1051,-27.0513,27.1331,10.0586,95.6392
253,8.4333,4074.3534,317.6127,63.6813,2.4840,-21.3916,21.5354,7.3341,112.6856
254,8.4667,4080.7013,437.3391,80.7705,2.8567,-18.6132,18.8312,8.0015,233.0944
255,8.5000,4096.5450,611.5989,81.2132,3.4093,-13.2263,13.6586,7.6321,434.8107
256,8.5333,4117.1393,773.2915,59.4574,3.6295,-4.7669,5.9914,4.3117,392.7030
257,8.5667,4147.7561,918.1783,17.0041,3.7581,2.0593,4.2853,2.3843,306.1569
258,8.6000,4184.8613,934.4493,-31.0705,3.4702,1.7905,3.9049,2.6798,356.3978
259,8.6333,4217.7091,776.5821,-59.7131,3.3738,4.7750,5.8467,3.3667,309.2446
260,8.6667,4239.8693,568.5398,-56.4661,3.6360,4.7485,5.9807,5.3923,265.4712
261,8.7000,4258.0597,435.6705,-23.6141,3.7309,-1.4577,4.0056,3.8565,111.4893
262,8.7333,4260.3644,456.6960,22.9469,3.4856,-9.1161,9.7598,4.2148,133.8914
263,8.7667,4270.7295,608.4927,54.3265,4.1471,-15.4095,15.9578,4.3257,243.9449
264,8.8000,4299.0357,772.1220,50.6117,4.5700,-18.1212,18.6886,5.5425,503.2754
265,8.8333,4334.4771,863.8515,12.5215,4.1474,-20.2804,20.7001,3.8368,436.0915
266,8.8667,4368.8514,838.7856,-40.3595,3.1345,-21.2294,21.4596,4.3089,461.7346
267,8.9000,4393.8934,691.9562,-77.4009,2.9121,-24.8294,24.9996,5.4328,396.1893
268,8.9333,4406.9969,483.5189,-77.6367,2.5614,-23.2215,23.3623,5.0182,178.6904
269,8.9667,4418.3549,296.5873,-39.2751,2.3571,-18.5923,18.7411,2.8546,38.2451
270,9.0000,4433.2805,248.8081,23.9670,2.4024,-16.3030,16.4791,4.0018,37.7319
